Catégorie,Types,Prix /kg,Prix Unité 
Légumes,COURGE butternut,,2
Légumes,ASPERGES VERTES,,
Légumes,ASPERGES VERTES MINI,,5
Légumes,COTE DE BETTE,6,
Légumes,BETTERAVES CHIOGGIA,6,
Légumes,CONCOMBRES ,,1.5
Légumes,POIVRON,7,
Légumes,AUBERGINES ,,1.5
Légumes,COURGETTES,5,
Légumes,TOMATES Grandes (500g),,3.5
Légumes,TOMATES Grandes ,6.5,
Légumes,TOMATES Mélange petites (300g),,3.5
Légumes,TOMATES Mélange petites (500g),,5.5
Légumes,CAROTTES ,,
Légumes,OIGNONS frais en botte,,2.5
Légumes,ECHALOTES,,
Fruits,FRAISES,,
Fruits,FRAMBOISES,,
Fruits,POMMES Royal,5,
Fruits,POMMES Boskoop,6,
Fruits,POIRES Conférences,3.5,
Fruits,POIRES Harrow sweet,5,
Epicerie,CONFITURES Maison,,
Epicerie,- Oranges douces bio,,
Epicerie,- Fraises-coings,,
Epicerie,- Fraises,,
Epicerie,- Framboises,,
Epicerie,- Framboises-pruneaux,,
Epicerie,GELEES Maison,,
Epicerie,- Fraises-Coings,,
Epicerie,- Coings,,
Epicerie,CONCENTRE DE TOMATES Maison,,
Epicerie,CHUTNEY OIGNONS Maison,,
Epicerie,SIROPS FRAISE Maison,,
Epicerie,"BOURGEONS d'origan, récolté en Crète, commandé",,
Epicerie,"FLEUR DE SEL - 5 herbettes, origan, nature",,
Epicerie,HUILES D'OLIVES BIO,,
Epicerie,FARINE DE SARRASIN,,
Pain,PAIN - Boulangerie de DENENS,,
Pain,PAIN SANS GLUTEN,,
Produits laitiers,"FROMAGES DE CHEVRES, mi-dur",29,
Produits laitiers,FROMAGES FRAIS Nature,,4
Produits laitiers,FROMAGES FRAIS Poivre,,4
Produits laitiers,FROMAGES FRAIS Herbe de Provence,,4
Produits laitiers,LAITSPOIR,,
Produits laitiers,GRUYERE,,
Produits laitiers,TOMMES natures,,
Produits laitiers,PRODUITS de la fromagerie du Moléson,,
Œuf,OEUFS FRAIS bio de Villars-sous-Yens x6,,5
Œuf,OEUFS FRAIS gros SRPA de Pampigny x6,,4.5
